input_1	Gold	Pred	Gold_Label	Predicted_Label
My wife went out of the country for 2 months, leaving me alone with the dogs.  We had just moved so I didn't really know anyone at the time.	23	23	lonely	lonely
The horror film I saw last night was crazy. I'm so frightened.	30	30	terrified	terrified
good luck!	39	39	Wishing	Wishing
i am actually home bound, but i love to live through other peoples experiences.	40	40	neutral	neutral
My son finally graduated from Harvard. He's worked so hard for this his entire life.	26	26	proud	proud
I was surprised when my mom bought me a car	29	29	surprised	surprised
My son misbehaved with his friends and I had to punish him	12	18	disgusted	guilty
that is an awesome goal!	33	33	acknowledging	acknowledging
Running up the stairs in the dark when I was a kid.	30	0	terrified	afraid
there have been a number of times where this has happened to me too.	32	40	agreeing	neutral
One time I was going to a court hearing against my former place of employment to repeal a decision made to cancel my unemployment. I knew I would win because I had so much evidence against them and their shoddy work practices.	8	31	confident	trusting
I received concert tickets for Christmas.	14	29	excited	surprised
Seems like every time we get a bill it's higher than expected. I thought we had lowered the electric bill but it actually went up.	29	29	surprised	surprised
Some of my friends told me that they had a big surprise for me. They know I hate surprises, but I complied and let the blindfold me and drive me out to the location.	31	29	trusting	surprised
One time my brother was playing music really loud while I was trying to study. It made it hard for me to focus	2	2	annoyed	annoyed
I let a friend watch my dog for a week while I was out of town. I would've been devastated if anything happened to him.	31	31	trusting	trusting
Someone packed into my car the other day at the supermarket and put a big dent in it. I've only had the car for 10 days.	16	16	furious	furious
I recently applied for a new job, beforehand i bought a new outfit and got a haircut to make me feel better about myself and my chances.	8	8	confident	confident
I went to a restaurant and I saw a rat running through the back, it was horrid and gross.	12	12	disgusted	disgusted
i hope he gets through it soon.	35	35	consoling	consoling
I had a panic attack the other night and it was terrible. The worst part is that I have no reason to be so stressed	4	30	anxious	terrified
I am on a new diet for my Lupus and it is critical that this work b/c the next steps to take care of my Lupus are very powerful drugs that I don't want to take	4	19	anxious	hopeful
my husband called me a punk today for nothing	1	16	angry	furious
I'm so excited about some news about an upcoming life change! It's a move and a new adventure!	3	14	anticipating	excited
Now that everything is falling into place in life, i feel very hopeful about the future.	19	19	hopeful	hopeful
I was recently waiting to hear the results of a medical exam. Fortunately, in the end it all turned out ok. But it was nerve wracking.	4	4	anxious	anxious
My eldest son just graduated from High School and I was so happy for him.	22	26	joyful	proud
When I was crying myself to sleep	27	27	sad	sad
I recently spoke with an ex-girlfriend of mine. I think that she is doing very well. Our recent talks were invigorating and nostalgic, reminding me of my past experiences with her.	24	9	nostalgic	content
Recently we had a 7 hour drive to get to our vacation spot, the rain was heavy and so was the traffic on the drive there. It made me very nervous!	5	25	apprehensive	prepared
I felt really good about myself when i got a job at a local firm. I felt a sudden boost in my self worth	8	26	confident	proud
My intuition has led me into some situations that had I only used my head, I might have missed out on. I'm a big believer in listening to your "gut".	31	31	trusting	trusting
My pet has a tumor.	27	27	sad	sad
I had a meeting with a new doctor this week. I hate meeting new doctors.	4	4	anxious	anxious
i'm very sorry to hear that.	36	36	sympathizing	sympathizing
My parents have helped me recover from my sickness.	7	17	caring	grateful
i am sorry to hear that.	36	36	sympathizing	sympathizing
maybe soon you will get new neighbors or you can get a better place.	37	37	suggesting	suggesting
I once went to a pizza place and found a hair on my pizza. I was grossed out.	12	12	disgusted	disgusted
I am going camping this weekend. I got my tent, sleeping bag and tons of food. I think I have everything I need!	25	25	prepared	prepared
me too, bullies are part of the reason that i homeschooled.	32	32	agreeing	agreeing
A large roach crawled acroos the floor.  It went under the chair I was sitting in.	12	12	disgusted	disgusted
I made some food and put it on the coffee table. I went upstairs to get something and I found my dog had eaten my food	2	18	annoyed	guilty
I recently purchased an Xbox! I've never owned a gaming console	14	14	excited	excited
Once I was ashamed b/c my husband asked me not to tell my mom that he was actually busy when she needed his help with something.  I ended up telling her and he found out and was pretty upset with me.	6	6	ashamed	ashamed
sounds good, when she got back i hope you schooled her on halo ?	35	34	consoling	encouraging
maybe put the poop back on your neighbors yard?	37	37	suggesting	suggesting
i completely understand think of it as maybe they are not meant to be apart of your life, you will find some good friends just be patient.	32	32	agreeing	agreeing
i know you did the right thing.	32	40	agreeing	neutral
I feel happy when I am outside in nature.	22	9	joyful	content
maybe thats a good idea, to try and set aside a small amount of time a day to do it instead of trying to do it all the time along with everything else going on.	33	37	acknowledging	suggesting
My sister is so caring, she took care of me when I was sick	7	7	caring	caring
The last time I went to the fair, I tripped over a big cord and fell down. There were so many people around and I wanted to run and hide!	13	13	embarrassed	embarrassed
My dad worked his ass off at a job he didn't enjoy, doing back breaking work. Always amazed that he was able to do that as long as he did.	20	20	impressed	impressed
I have alot of health problems and because of that see many different specialist.  I have been able to find some amazing doctors and I have to often times put complete faith in them because my life is in their hands	31	31	trusting	trusting
wife is not well lately	7	27	caring	sad
I miss my puppy. She passed away recently and it was really sudden and sad.	27	27	sad	sad
My husband received a call this morning and he became very nervous, which put me in a bad mood,	21	4	jealous	anxious
A coworker mad me very mad one day. She slammed a large order of work on my desk and basically demanded that I do it! She has no right to do that.	1	16	angry	furious
if i did, i'd consider using it again, or at the very least passing it down to my own kid.	40	37	neutral	suggesting
i hope it gets better for her.	34	35	encouraging	consoling
I almost lost my mind the other day when I heard gunshots right outside my house. I thought someone was going to come in and shoot me!	30	30	terrified	terrified
nice, well i hope you have a nice trip!	33	34	acknowledging	encouraging
My husband and I are going on our very first cruise in December. I am so excited. I have wanted to go on a cruise for a few years now. Its awesome that I will finally be going on one soon.	3	14	anticipating	excited
maybe next year you will be a partner!	37	37	suggesting	suggesting
My father passed away in November, it's made me feel empty ever since.	10	27	devastated	sad
Going on vacation and I am done packing 2 days before I leave. I usually scramble the night before.	25	25	prepared	prepared
I bought tickets to an expensive concert ($50) that a friend and I planned to attend. The day of the concert the show was rained out, and no one was refunded.	11	16	disappointed	furious
There was an elderly lady at my church who was blind, but she was faithful about coming to church. Different church members helped her to and from her seat and to and from the preacher's car since he was the one who picked her up. Every time I saw that she needed help, I tried to direct her using words like " go a little to your left or right". She recently passed away. I miss her.	7	15	caring	faithful
One time I found out my boyfriend had been texting his ex. I was afraid he wanted to still be with her	21	31	jealous	trusting
My father was recently put close to his death bed. Fortunately he is alive, but his recent health issues have been devastating.	10	10	devastated	devastated
My son has been saving for 3 years and just bought his first house!	26	26	proud	proud
i hope it's been good so far.	35	34	consoling	encouraging
I recently went to a wedding with a friend from way back in the day. I saw other friends I knew from long ago, too.	24	24	nostalgic	nostalgic
she took me for $1600 in just 2 weeks	16	20	furious	impressed
congratulations.	39	39	Wishing	Wishing
i'm so sorry!	36	36	sympathizing	sympathizing
I went to the beach last week. felt like one of those times i went there with my family and had fun	24	9	nostalgic	content
i like scary movies as well so i know how addicting they can be.	32	32	agreeing	agreeing
I told a lie to my mother.	18	18	guilty	guilty
One time I was trying to study for a final but my neighbors were being really loud. I found it really hard to focus	2	0	annoyed	afraid
I found a giant spider in my car yesterday! It scared me!	29	30	surprised	terrified
Giving a presentation at college	13	8	embarrassed	confident
My step dad showed me his cut he got while working on his boat. I could see his muscle fibers underneath, ugh.	12	12	disgusted	disgusted
I am hopeful that I will win my ebay bid	19	19	hopeful	hopeful
yikes, i'm sorry to hear that.	36	36	sympathizing	sympathizing
oh no i'm very sorry.	36	36	sympathizing	sympathizing
so sorry to hear about this disaster	36	36	sympathizing	sympathizing
I was really down after I found out that I was not going to be able to move.	11	4	disappointed	anxious
I am so angry that my brother didnt come to my party	1	1	angry	angry
Today was a bad day, But fortunately i was prepared.	25	25	prepared	prepared
hopefullybeveryday goes well.	34	35	encouraging	consoling
it was like a fluffy murder scene when i got home.	40	33	neutral	acknowledging
I recently found out that I am having baby number 4.	29	22	surprised	joyful
joyful: I am so happy that we're having a baby boy	22	22	joyful	joyful
My husband is going through the process of quitting smoking and he also has drama going on with his parents that isn't his fault. There is nothing that I can do to make the situation better for him, so it makes me sad.	27	27	sad	sad
I currently have epilepsy and they have not found a treatment for it. I am hopeful they will.	19	19	hopeful	hopeful
i'm so sorry for your loss, it isn't easy losing a pet.	36	36	sympathizing	sympathizing
i know how hard it was for you.	32	32	agreeing	agreeing
I am going on a vacation this Thursday! I am very excited!	3	14	anticipating	excited
I was grateful for my pay-rise thanks to my new manager. nice guy.	17	17	grateful	grateful
We just went to meet our daughters new teacher and I really liked her. She showed us her schedule for the year and told us about everything she planned to do with the kids and I was really impressed.	20	20	impressed	impressed
maybe you should make her wait and see if she likes it.	37	37	suggesting	suggesting
I found my grandmother's glass eye in a trunk full of her belongings in a storage shed auction that I won last Monday. It really reminded me of all the times she used to mess with me when I was a kid by popping it out and showing me her empty eye socket. Those were such good times.	28	28	sentimental	sentimental
good luck!	39	39	Wishing	Wishing
One time I saw a man swallow a sword. It was scary to watch but he turned out fine.	20	20	impressed	impressed
I came home from work and my husband had dinner already made. It felt nice to be able to just relax.	29	9	surprised	content
hurricanes are scary.	33	30	acknowledging	terrified
The more problems I have to more I faith, and faithful I become. I am stronger in my faith when bad things happen in my life and around me.	15	15	faithful	faithful
I saw my neighbor bought the car I have always wanted. I wish I was in a a better financial position to buy one.	21	21	jealous	jealous
My friend took early retirement recently and he and his wife are jetting all over the world, having a wonderful time. I wish I could do that!	21	21	jealous	jealous
I was really nervous when my girlfriend asked me to meet her parents. I was so close to running away!	4	5	anxious	apprehensive
i'm so sorry.	36	36	sympathizing	sympathizing
I let a friend watch my child for the day while I ran some errands. Usually I am very skeptical about letting people watch either of my kids but I knew I could count on her.	31	31	trusting	trusting
Having nightmares when I was little was scary	30	30	terrified	terrified
My mother-in-law told a secret of mine that she promised she would never tell.  It hurt me and I really had to work on trusting her with other things I tell her	1	31	angry	trusting
I am confident that I will have a great day tomorrow	8	19	confident	hopeful
I stole a candy bar from a local gas station. I am not pleased with my actions.	18	18	guilty	guilty
I have a dog that lives near us and his owner never picks up his poop. It makes me feel sick!	12	12	disgusted	disgusted
I'm going overseas in 2 weeks@	3	14	anticipating	excited
One of my neighbors (next building and two floors up) insists on playing talk radio every morning with his door open. It's blaring out and driving me nuts!!	2	2	annoyed	annoyed
i wish you good luck!	39	39	Wishing	Wishing
I have just watched the first ring movie. I keep having nightmares and can't sleep with the lights off.	30	30	terrified	terrified
I took my dog for the first time to visit the dog park. He refused to leave my side the entire time and was a sweetheart.	15	22	faithful	joyful
I live by myself. Sometimes it gets tough without anybody around.	23	23	lonely	lonely
My friend is a beautiful person. She drove me to class	31	17	trusting	grateful
I have a friend that I have known for many years. I recently gave her some money that she promised she would pay back but now I haven't heard a word from her. I thought I could count on her but I guess I can't.	31	31	trusting	trusting
Bills and mortgage payments are comming up.  I am working hard to make sure I can satisfy them.	4	3	anxious	anticipating
One time I got my grades back after a difficult semester in college. I got all A's.	9	26	content	proud
I recently saw my friend's new car. He has a great, smooth ride that raises eyebrows.	20	20	impressed	impressed
I was very surprised Donald Trump became President	29	29	surprised	surprised
I think I might loose my job over something that wasn't my fault.	2	6	annoyed	ashamed
There is a few different girls that work with my husband that over the years have hit on him. I know I trust him but they still bother me.	21	15	jealous	faithful
Last week I saw a three piece rock band that sounded so huge that I was sure they were playing with a backing track. I asked their tech, and checked their equipment and guess what!? It was just them!	20	29	impressed	surprised
I have a really big meeting next week. I have rehearsed what I am to go over all this past week and plan to practice a little more this weekend.	25	25	prepared	prepared
Once I was at a large rave at an abandoned shipping wharf. The cops came and made the people throwing it shut it down. I was out of it, and worried I was going to jail.	0	0	afraid	afraid
i understand that feeling.	32	32	agreeing	agreeing
I'm just sitting here alone in the room... no friends, no love	23	23	lonely	lonely
I have always wanted to go to graduate schools and then land a position on a college faculty.  Unfortunatley I wasn't able to finish.	11	11	disappointed	disappointed
i hope you find new friends soon!	35	35	consoling	consoling
Once I was super afraid b/c there was this guys following me and my mom at this grocery store.  I wasn't sure what to do about the situation so I told the manager at the store and he had someone walk me and my mom out to my car so we would be safe.	0	31	afraid	trusting
I told my son to not eat any snacks before dinnertime. He raided the snack cupboard, eating all my favourite snacks, and he made a mess out of it.	11	6	disappointed	ashamed
My husband decided to throw a surprise birthday party for me and it was so shocking to see him jump out at me with all his friends	29	29	surprised	surprised
I get paid today and this new game I've been wanting is coming out today. I've been waiting to get it and today I will!	3	14	anticipating	excited
I'm taking the California Bar exam in February and I am suuuuper nervous.	4	4	anxious	anxious
Every Christmas I get a bit memory driven for my moms excellant decroates around the house. I love driving around lookign at everyones.	24	28	nostalgic	sentimental
One of my co-worker came and asked me a lot of really weird questions about my supervisor. It seemed suspicious so I pretty much told her I didn't know any of the answers to her questions. I don't think she like my supervisor.	15	5	faithful	apprehensive
Last year I made a bet with my friend and he lost, so he had to buy me a Nintendo Switch. I was so great.	22	21	joyful	jealous
I used to love university. it has been so long.	28	24	sentimental	nostalgic
Once I had an interview for a job. I didn't feel prepared for it at all	4	5	anxious	apprehensive
i hope that your relationship continues to strengthen.	34	34	encouraging	encouraging
I was walking home alone one night in a bad part of town and I thought I was going to get robbed. I was scared!	0	30	afraid	terrified
sorry to hear that.	36	36	sympathizing	sympathizing
A friend let me know the morning of Christmas of 2007 that my best friend had fallen off of a roof and died.	10	10	devastated	devastated
Im so nervous, have a big exam coming up. I hope I do good.	4	4	anxious	anxious
My wife and I had to move far away from home recently for her grad school.  My parents were kind enough to cosign on a loan for a condo.	17	17	grateful	grateful
One of the most blissed out moment of time I remember in life was right after the birth of my first child.	9	22	content	joyful
thank goodness you had extra supplies on hand.	40	40	neutral	neutral
those cookies sure do sound delicious though.	33	40	acknowledging	neutral
that must have hurt.	33	33	acknowledging	acknowledging
Been going through stuff for our move and I just can't get myself to part with some things. My grandma gave me this sewing machines, it's huge but it meant a lot to her so I just can't let it go.	28	28	sentimental	sentimental
I was afraid when I watched a horror film	0	30	afraid	terrified
Something which really irks me is someone queue jumping. The other day I was standing at the deli counter of my local store and some guy just walked up and started asking for stuff. The employee served him, too.	2	2	annoyed	annoyed
I recently remembered a sweet memory of my aunt who recently passed away. She would give hundreds of dollars of school supplies to kids in need each year.	28	7	sentimental	caring
i am so sorry to hear, if you need to talk to someone about it, i am here for you	36	36	sympathizing	sympathizing
My four year old daughter showed my a picture she drew of me.  I was surprised by how detailed the drawing was.	29	20	surprised	impressed
My wife was sick in bed, so I took care of her.	7	7	caring	caring
I let my sister borrow my car. I was confident in her driving ability even though she is an inexperienced driver.	31	31	trusting	trusting
I went to a play recently that took place around a pool. It was an adaptation of "The Last Unicorn" with parts of performed in the water and parts of it performed on a giant trapeze. It was magical!	22	20	joyful	impressed
im sorry you are feeling down.	36	36	sympathizing	sympathizing
we have had a lot of great leaders in our country.	40	40	neutral	neutral
maybe they want something or they did something bad and are hiding it lol	37	37	suggesting	suggesting
I felt like the future was looking bright when I got my lisence	19	19	hopeful	hopeful
I recently let a girl slip through my fingers. She is now with somebody that I do not like.	21	10	jealous	devastated
Watching my daughter perform her first solo dance competition routine.	28	26	sentimental	proud
We were at a wedding a few weeks ago and everyone was having a great time. My 3 year old niece was dancing to the music while eating a carrot and started to choke on the carrot. It was one of the scariest moments ever. She is ok though, someone was able to help her	30	26	terrified	proud
Once, I was turned down for a job that I really wanted and I felt I would be a good fit at. It was really downing.	11	11	disappointed	disappointed
I have been practicing for a marathon and I am starting to beat my best time!	25	8	prepared	confident
My sister kept repeating a few seconds of a song on her laptop and I could hear it from my room. It drove me bonkders	2	2	annoyed	annoyed
that does sound like a great night!	33	33	acknowledging	acknowledging
I had a very specific deadline.And none of my co-workers would leave me alone to complete my work because it was friday.	2	2	annoyed	annoyed
One time I had been to a job interview. I was told that I would hear back in a week. I could not wait to find out if I got the job	4	4	anxious	anxious
The lottery was over 100 millions dollars and I just had to buy a ticket. I waiting for the numbers to be drawn to see if I won.	19	3	hopeful	anticipating
When I found out my job wasn't cracked up to what I thought it was	11	29	disappointed	surprised
I am so grateful for my wife	17	17	grateful	grateful
maybe you can join some kind of club that lets you meet new friends?	37	37	suggesting	suggesting
I feel good about the progress I've made with lifting	26	26	proud	proud
sad: when she left for 3 weeks i was alone	27	23	sad	lonely
Every time I look through older photos of my children, I'm taken right back to the time they were that size!	28	24	sentimental	nostalgic
I am happy with my friends they are very good with me ... God give them happiness	17	17	grateful	grateful
i felt really great when i went to the beach with my friends the other day.. it gave me a warm sensation in my heart	22	22	joyful	joyful
aw, perhaps she just slipped up?	37	37	suggesting	suggesting
When my dog died when I was younger.	27	27	sad	sad
It was raining all day on my day off. The sky was gray and cloudy and it felt really cold. What a terrible day off	27	11	sad	disappointed
My dog chewed up one of my flip flops the other day. Now I have to throw them out.	1	27	angry	sad
It's almost time for Halloween Horror Nights at Universal Studios.  I'm super excited to go, and cannot wait to snag tickets!	3	3	anticipating	anticipating
There was a time a few years back where I was given a car. We only had one and needed a second and it was so helpful. I was blown away by someone's kindness.	17	17	grateful	grateful
it really makes me sad to think there are people who treat animals like trash, animal cruelty is a really serious matter	27	12	sad	disgusted
well, hopefully he can schedule another time to come visit you.	35	37	consoling	suggesting
I'm glad I stuck my job out as long as I did - I finally got offered a promotion today.	15	17	faithful	grateful
A girl i used to date asked me to come and visit her for a one night stand, I'm in a relationship though, i said no.	15	15	faithful	faithful
thats good, is it very important that this friend be there?	38	38	questioning	questioning
I was confident that I had aced my chemistry test in college	8	8	confident	confident
I was so upset when I heard my Grandma had passed. I was overseas and didn't know about it as nobody could contact me.	10	10	devastated	devastated
I'm in contract to buy my first house, fingers crossed closing goes well and I close next Friday!	19	19	hopeful	hopeful
I was scared when this random guy walked into my room	0	30	afraid	terrified
Last night there was a fly in the bedroom while I was trying to sleep. It kept landing on my face	2	30	annoyed	terrified
I ate like a whole cake last night! It was so good I couldn't stop eating it	18	29	guilty	surprised
i hate farting in public it is the worst thing that can happen to you in public	13	12	embarrassed	disgusted
I have to go to see my orthopedic surgeon next month. It's a bit of a drive - about 1 1/2 hours, but I've done it before and know I'll manage ok.	8	4	confident	anxious
When i worked as a machinist, i was the only person on my shift that could program a certain lathe that had 6 axis. It was when i was at the top of my abillitys.	8	20	confident	impressed
if only time machines were real.	40	40	neutral	neutral
While in college, I was in the running for a scholarship. Despite being fully qualified to receive it and meeting the criteria, it was given to someone else. I really wanted that scholarship.	21	11	jealous	disappointed
i totally agree, new music is not as good.	32	32	agreeing	agreeing
i hope you guys have a wonderful time!	34	34	encouraging	encouraging
any interesting ones?	38	38	questioning	questioning
One time I bumped into a friend from middle school. It really brought me back	24	24	nostalgic	nostalgic
When I was in Costa Rica I was having a lot of trouble with the address of my AirBnB, I was so lost.	0	4	afraid	anxious
My girlfriend and I really like going to breweries. Unfortunately, there hadn't been any in our small town. Then, we got the news that one will be opening a few weeks from now!	14	3	excited	anticipating
The day i finished my Doctorate i was extremly proud and thankfull for everything i have	26	26	proud	proud
My brother just turned 16 and he's about to get his first car! I'm so excited for him.	7	26	caring	proud
Nothing makes me more furious than bullies. Playground or politics, I find them intolerable.	16	1	furious	angry
well, that's very nice.	33	33	acknowledging	acknowledging
I've had a savings account with the same bank for over 10 years. I didn't use it for a long time, but decided to use it again. I got a heck of a shock when I saw they'd been deducting $15/month due to inactivity. They didn't even tell me!	29	29	surprised	surprised
what if someone did that to your stuff?	38	37	questioning	suggesting
