input	Gold	Pred	Gold_Label	Predicted_Label
My friend has been couch surfing for a few weeks. He has been getting under my skin.	2	2	annoyed	annoyed
After years of trying and failing, I had to change and become better. Now I am ready to take on any	25	25	prepared	prepared
I cannot wait to go travel! I have an upcoming trip to Madagascar	3	14	anticipating	excited
I was really looking forward to our family vacation to California this year. I love spending the hol	3	22	anticipating	joyful
The last time I went into a job interview, I knew as soon as I walked out that I would be getting a	8	8	confident	confident
I had an interview for my dream job. I felt sure I would get it, but I didn't in the end.	8	11	confident	disappointed
well, it was a very smart thing you did packing those extra supplies.	40	40	neutral	neutral
I remember when I was a kid and in the summertime I used to catch fireflies and place them in a jar	24	24	nostalgic	nostalgic
We just adopted a dog from the shelter and I think she is sick with Parvo. We are taking her to the	28	7	sentimental	caring
I had to stay home and work while All my friend got to go to colorado to skii. Not only was I missin	23	21	lonely	jealous
I just figured out how to consistently generate high quality serves in tennis. My friend has been wo	17	20	grateful	impressed
I was in the grocery store and dropped a can of pasta sauce and it made a huge mess.	13	13	embarrassed	embarrassed
well i hope you found a good job somewhere.	34	34	encouraging	encouraging
congratulations!	39	39	Wishing	Wishing
My wife is coming back home after being out of the country for 2 months.	14	14	excited	excited
Tomorrow I start my new job teaching kids. I really hope it goes well!	4	19	anxious	hopeful
I close on my new house Monday, I didn't think I was going to be able to purchase it but I believed	31	31	trusting	trusting
Spiders make me scared to my bones i cannot see them anywhere does not matter if it is in a picture	30	0	terrified	afraid
I've been so upset lately, the house has been a mess and my husband hasn't been helping clean.	1	1	angry	angry
I have felt some of the best moments of pure happiness seeing someone I love getting something they	22	22	joyful	joyful
i'll pray for you if that's okay and then maybe you will get it, but if not, maybe something even b	37	37	suggesting	suggesting
wow i'm so sorry.	36	36	sympathizing	sympathizing
One time i had a interview for a job I didn't feel qualified for. I felt pretty nervous going into i	5	5	apprehensive	apprehensive
i wish you the best of luck with your new diet.	39	39	Wishing	Wishing
that is so sad i hope your pet gets better	34	35	encouraging	consoling
congratulations!	39	39	Wishing	Wishing
I recently found out that a good friend of mine has been cheating on her fiance with multiple differ	12	21	disgusted	jealous
I was devastated when my dog died	10	10	devastated	devastated
I had to do a talk and tried to tell an amusing story to break the ice. It apparently wasn't amusin	13	13	embarrassed	embarrassed
My wife went out of the country for 2 months, leaving me alone with the dogs. We had just moved so	23	23	lonely	lonely
The horror film I saw last night was crazy. I'm so frightened.	30	30	terrified	terrified
good luck!	39	39	Wishing	Wishing
i am actually home bound, but i love to live through other peoples experiences.	40	28	neutral	sentimental
My son finally graduated from Harvard. He's worked so hard for this his entire life.	26	26	proud	proud
I was surprised when my mom bought me a car	29	29	surprised	surprised
My son misbehaved with his friends and I had to punish him	12	6	disgusted	ashamed
that is an awesome goal!	33	33	acknowledging	acknowledging
Running up the stairs in the dark when I was a kid.	30	0	terrified	afraid
there have been a number of times where this has happened to me too.	32	32	agreeing	agreeing
One time I was going to a court hearing against my former place of employment to repeal a decision m	8	13	confident	embarrassed
I received concert tickets for Christmas.	14	14	excited	excited
Seems like every time we get a bill it's higher than expected. I thought we had lowered the electric	29	29	surprised	surprised
Some of my friends told me that they had a big surprise for me. They know I hate surprises, but I co	31	29	trusting	surprised
One time my brother was playing music really loud while I was trying to study. It made it hard for m	2	13	annoyed	embarrassed
I let a friend watch my dog for a week while I was out of town. I would've been devastated if anythi	31	27	trusting	sad
Someone packed into my car the other day at the supermarket and put a big dent in it. I've only had	16	16	furious	furious
I recently applied for a new job, beforehand i bought a new outfit and got a haircut to make me feel	8	8	confident	confident
I went to a restaurant and I saw a rat running through the back, it was horrid and gross.	12	12	disgusted	disgusted
i hope he gets through it soon.	35	35	consoling	consoling
I had a panic attack the other night and it was terrible. The worst part is that I have no reason to	4	4	anxious	anxious
I am on a new diet for my Lupus and it is critical that this work b/c the next steps to take care of	4	19	anxious	hopeful
my husband called me a punk today for nothing	1	1	angry	angry
I'm so excited about some news about an upcoming life change! It's a move and a new adventure!	3	14	anticipating	excited
Now that everything is falling into place in life, i feel very hopeful about the future.	19	19	hopeful	hopeful
I was recently waiting to hear the results of a medical exam. Fortunately, in the end it all turned	4	19	anxious	hopeful
My eldest son just graduated from High School and I was so happy for him.	22	26	joyful	proud
When I was crying myself to sleep	27	27	sad	sad
I recently spoke with an ex-girlfriend of mine. I think that she is doing very well. Our recent talk	24	19	nostalgic	hopeful
Recently we had a 7 hour drive to get to our vacation spot, the rain was heavy and so was the traffi	5	25	apprehensive	prepared
I felt really good about myself when i got a job at a local firm. I felt a sudden boost in my self w	8	26	confident	proud
My intuition has led me into some situations that had I only used my head, I might have missed out o	31	40	trusting	neutral
My pet has a tumor.	27	27	sad	sad
I had a meeting with a new doctor this week. I hate meeting new doctors.	4	4	anxious	anxious
i'm very sorry to hear that.	36	36	sympathizing	sympathizing
My parents have helped me recover from my sickness.	7	17	caring	grateful
i am sorry to hear that.	36	36	sympathizing	sympathizing
maybe soon you will get new neighbors or you can get a better place.	37	37	suggesting	suggesting
I once went to a pizza place and found a hair on my pizza. I was grossed out.	12	12	disgusted	disgusted
I am going camping this weekend. I got my tent, sleeping bag and tons of food. I think I have everyt	25	25	prepared	prepared
me too, bullies are part of the reason that i homeschooled.	32	17	agreeing	grateful
A large roach crawled acroos the floor. It went under the chair I was sitting in.	12	12	disgusted	disgusted
I made some food and put it on the coffee table. I went upstairs to get something and I found my dog	2	9	annoyed	content
I recently purchased an Xbox! I've never owned a gaming console	14	14	excited	excited
Once I was ashamed b/c my husband asked me not to tell my mom that he was actually busy when she nee	6	6	ashamed	ashamed
sounds good, when she got back i hope you schooled her on halo ?	35	34	consoling	encouraging
maybe put the poop back on your neighbors yard?	37	37	suggesting	suggesting
i completely understand think of it as maybe they are not meant to be apart of your life, you will f	32	32	agreeing	agreeing
i know you did the right thing.	32	32	agreeing	agreeing
I feel happy when I am outside in nature.	22	9	joyful	content
maybe thats a good idea, to try and set aside a small amount of time a day to do it instead of tryin	33	37	acknowledging	suggesting
My sister is so caring, she took care of me when I was sick	7	7	caring	caring
The last time I went to the fair, I tripped over a big cord and fell down. There were so many people	13	13	embarrassed	embarrassed
My dad worked his ass off at a job he didn't enjoy, doing back breaking work. Always amazed that he	20	20	impressed	impressed
I have alot of health problems and because of that see many different specialist. I have been able	31	7	trusting	caring
wife is not well lately	7	27	caring	sad
I miss my puppy. She passed away recently and it was really sudden and sad.	27	27	sad	sad
My husband received a call this morning and he became very nervous, which put me in a bad mood,	21	5	jealous	apprehensive
A coworker mad me very mad one day. She slammed a large order of work on my desk and basically deman	1	16	angry	furious
if i did, i'd consider using it again, or at the very least passing it down to my own kid.	40	40	neutral	neutral
i hope it gets better for her.	34	35	encouraging	consoling
I almost lost my mind the other day when I heard gunshots right outside my house. I thought someone	30	30	terrified	terrified
nice, well i hope you have a nice trip!	33	34	acknowledging	encouraging
My husband and I are going on our very first cruise in December. I am so excited. I have wanted to g	3	14	anticipating	excited
maybe next year you will be a partner!	37	37	suggesting	suggesting
My father passed away in November, it's made me feel empty ever since.	10	27	devastated	sad
Going on vacation and I am done packing 2 days before I leave. I usually scramble the night before.	25	25	prepared	prepared
I bought tickets to an expensive concert ($50) that a friend and I planned to attend. The day of the	11	29	disappointed	surprised
There was an elderly lady at my church who was blind, but she was faithful about coming to church. D	7	15	caring	faithful
One time I found out my boyfriend had been texting his ex. I was afraid he wanted to still be with h	21	5	jealous	apprehensive
My father was recently put close to his death bed. Fortunately he is alive, but his recent health is	10	10	devastated	devastated
My son has been saving for 3 years and just bought his first house!	26	26	proud	proud
i hope it's been good so far.	35	34	consoling	encouraging
I recently went to a wedding with a friend from way back in the day. I saw other friends I knew from	24	24	nostalgic	nostalgic
she took me for $1600 in just 2 weeks	16	20	furious	impressed
congratulations.	39	39	Wishing	Wishing
i'm so sorry!	36	36	sympathizing	sympathizing
I went to the beach last week. felt like one of those times i went there with my family and had fun	24	9	nostalgic	content
i like scary movies as well so i know how addicting they can be.	32	32	agreeing	agreeing
I told a lie to my mother.	18	18	guilty	guilty
One time I was trying to study for a final but my neighbors were being really loud. I found it reall	2	29	annoyed	surprised
I found a giant spider in my car yesterday! It scared me!	29	30	surprised	terrified
Giving a presentation at college	13	8	embarrassed	confident
My step dad showed me his cut he got while working on his boat. I could see his muscle fibers undern	12	20	disgusted	impressed
I am hopeful that I will win my ebay bid	19	19	hopeful	hopeful
yikes, i'm sorry to hear that.	36	36	sympathizing	sympathizing
oh no i'm very sorry.	36	36	sympathizing	sympathizing
so sorry to hear about this disaster	36	36	sympathizing	sympathizing
I was really down after I found out that I was not going to be able to move.	11	10	disappointed	devastated
I am so angry that my brother didnt come to my party	1	16	angry	furious
Today was a bad day, But fortunately i was prepared.	25	25	prepared	prepared
hopefullybeveryday goes well.	34	19	encouraging	hopeful
it was like a fluffy murder scene when i got home.	40	40	neutral	neutral
I recently found out that I am having baby number 4.	29	22	surprised	joyful
joyful: I am so happy that we're having a baby boy	22	22	joyful	joyful
My husband is going through the process of quitting smoking and he also has drama going on with his	27	5	sad	apprehensive
I currently have epilepsy and they have not found a treatment for it. I am hopeful they will.	19	19	hopeful	hopeful
i'm so sorry for your loss, it isn't easy losing a pet.	36	36	sympathizing	sympathizing
i know how hard it was for you.	32	32	agreeing	agreeing
I am going on a vacation this Thursday! I am very excited!	3	14	anticipating	excited
I was grateful for my pay-rise thanks to my new manager. nice guy.	17	17	grateful	grateful
We just went to meet our daughters new teacher and I really liked her. She showed us her schedule fo	20	29	impressed	surprised
maybe you should make her wait and see if she likes it.	37	37	suggesting	suggesting
I found my grandmother's glass eye in a trunk full of her belongings in a storage shed auction that	28	28	sentimental	sentimental
good luck!	39	39	Wishing	Wishing
One time I saw a man swallow a sword. It was scary to watch but he turned out fine.	20	20	impressed	impressed
I came home from work and my husband had dinner already made. It felt nice to be able to just relax.	29	9	surprised	content
hurricanes are scary.	33	30	acknowledging	terrified
The more problems I have to more I faith, and faithful I become. I am stronger in my faith when bad	15	15	faithful	faithful
I saw my neighbor bought the car I have always wanted. I wish I was in a a better financial position	21	21	jealous	jealous
My friend took early retirement recently and he and his wife are jetting all over the world, having	21	21	jealous	jealous
I was really nervous when my girlfriend asked me to meet her parents. I was so close to running away	4	5	anxious	apprehensive
i'm so sorry.	36	36	sympathizing	sympathizing
I let a friend watch my child for the day while I ran some errands. Usually I am very skeptical abou	31	31	trusting	trusting
Having nightmares when I was little was scary	30	30	terrified	terrified
My mother-in-law told a secret of mine that she promised she would never tell. It hurt me and I rea	1	10	angry	devastated
I am confident that I will have a great day tomorrow	8	8	confident	confident
I stole a candy bar from a local gas station. I am not pleased with my actions.	18	18	guilty	guilty
I have a dog that lives near us and his owner never picks up his poop. It makes me feel sick!	12	12	disgusted	disgusted
I'm going overseas in 2 weeks@	3	14	anticipating	excited
One of my neighbors (next building and two floors up) insists on playing talk radio every morning wi	2	2	annoyed	annoyed
i wish you good luck!	39	39	Wishing	Wishing
I have just watched the first ring movie. I keep having nightmares and can't sleep with the lights o	30	0	terrified	afraid
I took my dog for the first time to visit the dog park. He refused to leave my side the entire time	15	31	faithful	trusting
I live by myself. Sometimes it gets tough without anybody around.	23	23	lonely	lonely
My friend is a beautiful person. She drove me to class	31	17	trusting	grateful
I have a friend that I have known for many years. I recently gave her some money that she promised s	31	31	trusting	trusting
Bills and mortgage payments are comming up. I am working hard to make sure I can satisfy them.	4	19	anxious	hopeful
One time I got my grades back after a difficult semester in college. I got all A's.	9	26	content	proud
I recently saw my friend's new car. He has a great, smooth ride that raises eyebrows.	20	20	impressed	impressed
I was very surprised Donald Trump became President	29	29	surprised	surprised
I think I might loose my job over something that wasn't my fault.	2	18	annoyed	guilty
There is a few different girls that work with my husband that over the years have hit on him. I know	21	15	jealous	faithful
Last week I saw a three piece rock band that sounded so huge that I was sure they were playing with	20	20	impressed	impressed
I have a really big meeting next week. I have rehearsed what I am to go over all this past week and	25	25	prepared	prepared
Once I was at a large rave at an abandoned shipping wharf. The cops came and made the people throwin	0	1	afraid	angry
i understand that feeling.	32	32	agreeing	agreeing
I'm just sitting here alone in the room... no friends, no love	23	23	lonely	lonely
I have always wanted to go to graduate schools and then land a position on a college faculty. Unfor	11	11	disappointed	disappointed
i hope you find new friends soon!	35	35	consoling	consoling
Once I was super afraid b/c there was this guys following me and my mom at this grocery store. I wa	0	30	afraid	terrified
I told my son to not eat any snacks before dinnertime. He raided the snack cupboard, eating all my f	11	18	disappointed	guilty
My husband decided to throw a surprise birthday party for me and it was so shocking to see him jump	29	29	surprised	surprised
I get paid today and this new game I've been wanting is coming out today. I've been waiting to get i	3	14	anticipating	excited
I'm taking the California Bar exam in February and I am suuuuper nervous.	4	4	anxious	anxious
Every Christmas I get a bit memory driven for my moms excellant decroates around the house. I love d	24	28	nostalgic	sentimental
One of my co-worker came and asked me a lot of really weird questions about my supervisor. It seemed	15	5	faithful	apprehensive
Last year I made a bet with my friend and he lost, so he had to buy me a Nintendo Switch. I was so g	22	11	joyful	disappointed
I used to love university. it has been so long.	28	24	sentimental	nostalgic
Once I had an interview for a job. I didn't feel prepared for it at all	4	25	anxious	prepared
i hope that your relationship continues to strengthen.	34	35	encouraging	consoling
I was walking home alone one night in a bad part of town and I thought I was going to get robbed. I	0	30	afraid	terrified
sorry to hear that.	36	36	sympathizing	sympathizing
A friend let me know the morning of Christmas of 2007 that my best friend had fallen off of a roof a	10	10	devastated	devastated
Im so nervous, have a big exam coming up. I hope I do good.	4	4	anxious	anxious
My wife and I had to move far away from home recently for her grad school. My parents were kind eno	17	17	grateful	grateful
One of the most blissed out moment of time I remember in life was right after the birth of my first	9	22	content	joyful
thank goodness you had extra supplies on hand.	40	40	neutral	neutral
those cookies sure do sound delicious though.	33	33	acknowledging	acknowledging
that must have hurt.	33	33	acknowledging	acknowledging
Been going through stuff for our move and I just can't get myself to part with some things. My grand	28	28	sentimental	sentimental
I was afraid when I watched a horror film	0	0	afraid	afraid
Something which really irks me is someone queue jumping. The other day I was standing at the deli co	2	2	annoyed	annoyed
I recently remembered a sweet memory of my aunt who recently passed away. She would give hundreds of	28	28	sentimental	sentimental
i am so sorry to hear, if you need to talk to someone about it, i am here for you	36	36	sympathizing	sympathizing
My four year old daughter showed my a picture she drew of me. I was surprised by how detailed the d	29	20	surprised	impressed
My wife was sick in bed, so I took care of her.	7	7	caring	caring
I let my sister borrow my car. I was confident in her driving ability even though she is an inexperi	31	31	trusting	trusting
I went to a play recently that took place around a pool. It was an adaptation of "The Last Unicorn"	22	20	joyful	impressed
im sorry you are feeling down.	36	36	sympathizing	sympathizing
we have had a lot of great leaders in our country.	40	40	neutral	neutral
maybe they want something or they did something bad and are hiding it lol	37	37	suggesting	suggesting
I felt like the future was looking bright when I got my lisence	19	19	hopeful	hopeful
I recently let a girl slip through my fingers. She is now with somebody that I do not like.	21	15	jealous	faithful
Watching my daughter perform her first solo dance competition routine.	28	26	sentimental	proud
We were at a wedding a few weeks ago and everyone was having a great time. My 3 year old niece was d	30	22	terrified	joyful
Once, I was turned down for a job that I really wanted and I felt I would be a good fit at. It was r	11	9	disappointed	content
I have been practicing for a marathon and I am starting to beat my best time!	25	8	prepared	confident
My sister kept repeating a few seconds of a song on her laptop and I could hear it from my room. It	2	2	annoyed	annoyed
that does sound like a great night!	33	33	acknowledging	acknowledging
I had a very specific deadline.And none of my co-workers would leave me alone to complete my work be	2	2	annoyed	annoyed
One time I had been to a job interview. I was told that I would hear back in a week. I could not wai	4	4	anxious	anxious
The lottery was over 100 millions dollars and I just had to buy a ticket. I waiting for the numbers	19	3	hopeful	anticipating
When I found out my job wasn't cracked up to what I thought it was	11	29	disappointed	surprised
I am so grateful for my wife	17	17	grateful	grateful
maybe you can join some kind of club that lets you meet new friends?	37	37	suggesting	suggesting
I feel good about the progress I've made with lifting	26	26	proud	proud
sad: when she left for 3 weeks i was alone	27	23	sad	lonely
Every time I look through older photos of my children, I'm taken right back to the time they were th	28	28	sentimental	sentimental
I am happy with my friends they are very good with me ... God give them happiness	17	17	grateful	grateful
i felt really great when i went to the beach with my friends the other day.. it gave me a warm sensa	22	9	joyful	content
aw, perhaps she just slipped up?	37	37	suggesting	suggesting
When my dog died when I was younger.	27	27	sad	sad
It was raining all day on my day off. The sky was gray and cloudy and it felt really cold. What a te	27	29	sad	surprised
My dog chewed up one of my flip flops the other day. Now I have to throw them out.	1	2	angry	annoyed
It's almost time for Halloween Horror Nights at Universal Studios. I'm super excited to go, and can	3	3	anticipating	anticipating
There was a time a few years back where I was given a car. We only had one and needed a second and i	17	17	grateful	grateful
it really makes me sad to think there are people who treat animals like trash, animal cruelty is a r	27	12	sad	disgusted
well, hopefully he can schedule another time to come visit you.	35	37	consoling	suggesting
I'm glad I stuck my job out as long as I did - I finally got offered a promotion today.	15	17	faithful	grateful
A girl i used to date asked me to come and visit her for a one night stand, I'm in a relationship th	15	15	faithful	faithful
thats good, is it very important that this friend be there?	38	38	questioning	questioning
I was confident that I had aced my chemistry test in college	8	8	confident	confident
I was so upset when I heard my Grandma had passed. I was overseas and didn't know about it as nobody	10	10	devastated	devastated
I'm in contract to buy my first house, fingers crossed closing goes well and I close next Friday!	19	19	hopeful	hopeful
I was scared when this random guy walked into my room	0	0	afraid	afraid
Last night there was a fly in the bedroom while I was trying to sleep. It kept landing on my face	2	30	annoyed	terrified
I ate like a whole cake last night! It was so good I couldn't stop eating it	18	29	guilty	surprised
i hate farting in public it is the worst thing that can happen to you in public	13	12	embarrassed	disgusted
I have to go to see my orthopedic surgeon next month. It's a bit of a drive - about 1 1/2 hours, but	8	4	confident	anxious
When i worked as a machinist, i was the only person on my shift that could program a certain lathe t	8	26	confident	proud
if only time machines were real.	40	40	neutral	neutral
While in college, I was in the running for a scholarship. Despite being fully qualified to receive i	21	26	jealous	proud
i totally agree, new music is not as good.	32	32	agreeing	agreeing
i hope you guys have a wonderful time!	34	34	encouraging	encouraging
any interesting ones?	38	38	questioning	questioning
One time I bumped into a friend from middle school. It really brought me back	24	24	nostalgic	nostalgic
When I was in Costa Rica I was having a lot of trouble with the address of my AirBnB, I was so lost.	0	4	afraid	anxious
My girlfriend and I really like going to breweries. Unfortunately, there hadn't been any in our smal	14	11	excited	disappointed
The day i finished my Doctorate i was extremly proud and thankfull for everything i have	26	26	proud	proud
My brother just turned 16 and he's about to get his first car! I'm so excited for him.	7	14	caring	excited
Nothing makes me more furious than bullies. Playground or politics, I find them intolerable.	16	1	furious	angry
well, that's very nice.	33	33	acknowledging	acknowledging
I've had a savings account with the same bank for over 10 years. I didn't use it for a long time, bu	29	15	surprised	faithful
what if someone did that to your stuff?	38	40	questioning	neutral
i hope it goes exactly how you planned.	32	34	agreeing	encouraging
We are getting married next month. The man of my dreams proposed to be at a concert 6 months ago and	14	14	excited	excited
I get to go the the zoo tomorrow! They opened an exhibit showcasing two of my favorite animal, the s	22	14	joyful	excited
Late last summer, my dog went missing. I caleld everyone in the neighborhood to see if they had seen	10	7	devastated	caring
I broke up with my girlfriend last week and it was really hard, we where together for 2 years.	28	23	sentimental	lonely
yes, you are correct.	32	32	agreeing	agreeing
I went to the beach the other day. It filled me with such a sense of calm and joy.	22	22	joyful	joyful
Always looking forward to the gym	3	14	anticipating	excited
he was a drug addict.	40	40	neutral	neutral
i was so angry when i found out my girlfriend kissed a friend of mine. i felt like punching the wall	16	21	furious	jealous
I was startled last night by some bad storms. They knocked out the power for a few hours.	30	30	terrified	terrified
When I came home to my dog dead.	10	27	devastated	sad
that I'll get to visit the south side and eat my favorite take out	19	9	hopeful	content
oh wow, that sounds like a tough job, but i bet you will be good at it.	34	33	encouraging	acknowledging
I could not believe how well my friend's niece did at her dance recital	20	20	impressed	impressed
In highschool, I drank too much and fell asleep at a party. I passed out in front of the door and ev	13	13	embarrassed	embarrassed
I remain loyal to my wife always	15	15	faithful	faithful
We are moving to Arkansas at the end of this year. Excited for the new opportunties for my family. N	19	3	hopeful	anticipating
I recently wrecked my car. There were no injuries, but I feel terrible.	6	18	ashamed	guilty
well good luck with that!	39	39	Wishing	Wishing
i really feel like im going to win my soccer game next week, i feel with my skill i will make my tea	8	8	confident	confident
My husband just got called back into work, was not expecting that. We were in the middle of eating d	29	29	surprised	surprised
good luck!	39	39	Wishing	Wishing
ooh nice.	33	33	acknowledging	acknowledging
when I was 17 I found out Brandon Lee had died during filming of my fav movie The Crow. This sadness	27	27	sad	sad
maybe in the future you can change to those.	37	37	suggesting	suggesting
maybe i could come with you, i'm near florida.	37	37	suggesting	suggesting
My husband wanted me to put on a blindfold and follow him the other night. He led me somewhere outsi	31	31	trusting	trusting
I recently successfully planned a birthday party without my wife finding out. She usually finds out	26	29	proud	surprised
do you like it now?	38	38	questioning	questioning
what genre does it fall in?	38	38	questioning	questioning
I am so excited that the kids go back to school in just one week!	14	14	excited	excited
Going to a job interview had me looking forward to it	3	3	anticipating	anticipating
I used to work a flooring job, one time we had to remove the floor where a man died, there was bodil	12	12	disgusted	disgusted
It can be really tough when your kids are older and both them and your husband have electronics. I c	23	40	lonely	neutral
I can't believe my son failed his exams. He spent too much time playing football, and not enough tim	11	11	disappointed	disappointed
after almost 3 weeks she finally came back	22	29	joyful	surprised
I borrowed a book from a friend and left it outside. It got ruined by the rain.	6	11	ashamed	disappointed
congratulations to her.	39	39	Wishing	Wishing
One time my sister kept playing a song I hated over and over again. I couldn't get it out of my head	2	2	annoyed	annoyed
anxious: idk if can save enough	4	4	anxious	anxious
Whenever I have to give a presentation, I get so nervous. Mentally, I don't really care, but my legs	4	4	anxious	anxious
I really envy people who can sing. I feel like they are blessed	21	20	jealous	impressed
After moving I went through a decently long period of unemployment. It was starting to get tough no	27	10	sad	devastated
It's easy to get irritated when you're working on a project and your teammates don't pull their weig	2	2	annoyed	annoyed
Had my first trekking expereince in the canyon last week. It payed off using all the things i learne	25	20	prepared	impressed
that's pretty much teaching their kids to worry about appearances than learning, too.	33	40	acknowledging	neutral
what did he do?	38	38	questioning	questioning
good luck	39	39	Wishing	Wishing
maybe someone died there	37	37	suggesting	suggesting
great, i hope you have a nice trip.	34	34	encouraging	encouraging
When my children were born, it was such a wonderful and amazing occasion for me. It's a happiness be	22	22	joyful	joyful
i hope you have a stress free move.	34	35	encouraging	consoling
i hope you can get out of the middle of it!	34	35	encouraging	consoling
I sat in my kitchen eating an entire cake to myself in the middle of the night. I felt so wrong but	6	6	ashamed	ashamed
Had to cancel our family vacation coming up next month. My husband's work said he couldn't go after	11	11	disappointed	disappointed
I like going fishing, it reminds me of when I would go with my dad when I was a kid.	24	24	nostalgic	nostalgic
i have surprised when my friend surprise me ion my birthday	29	29	surprised	surprised
that sounds dangerous!	33	33	acknowledging	acknowledging
My son is now in college and of legal age for any situation. I feel very nostalgic when I look at hi	28	28	sentimental	sentimental
I had a job interview one time that was very important for me! I prepared as best I could and wen!t	8	25	confident	prepared
